prompt_id,model,content_type,length_tier,token_count,gold_answer,n_samples_attempted,n_valid_samples,pct_unparseable,answer_mean,answer_sd,answer_variance,answer_cv,frac_correct,mean_logprob_entropy_first_k,mean_answer_token_entropy,n_entropy_first_k_obs,n_answer_token_entropy_obs,low_n_flag
seed_000_bare_bare,openai/gpt-4.1-mini,bare,bare,57,10.0,20,20,0.0,10.0,0.0,0.0,0.0,1.0,0.28414071678047914,2.7714715745603196e-06,20,20,False
seed_000_bare_bare,openai/gpt-4.1-nano,bare,bare,57,10.0,20,20,0.0,10.0,0.0,0.0,0.0,1.0,0.37284321726328473,2.1221009282559204e-05,20,20,False
seed_000_bare_bare,openai/gpt-4o-mini,bare,bare,57,10.0,20,14,0.30000000000000004,10.0,0.0,0.0,0.0,1.0,0.2058275274431994,2.435435002200207e-07,20,14,False
seed_000_filler_long,openai/gpt-4.1-mini,filler,long,714,10.0,20,20,0.0,10.0,0.0,0.0,0.0,1.0,0.2973669259162466,8.238748054052719e-06,20,20,False
seed_000_filler_long,openai/gpt-4.1-nano,filler,long,714,10.0,20,20,0.0,9.6,1.7888543819998322,3.200000000000001,0.18633899812498253,0.95,0.3399611377158522,0.007997455668539908,20,20,False
seed_000_filler_long,openai/gpt-4o-mini,filler,long,714,10.0,20,14,0.30000000000000004,10.0,0.0,0.0,0.0,1.0,0.20073462813381218,6.913356767896479e-07,20,14,False
seed_000_filler_medium,openai/gpt-4.1-mini,filler,medium,307,10.0,20,20,0.0,10.0,0.0,0.0,0.0,1.0,0.26232477131274784,1.845380991972185e-06,20,20,False
seed_000_filler_medium,openai/gpt-4.1-nano,filler,medium,307,10.0,20,20,0.0,9.666500000000001,1.4914573409923597,2.224445,0.15429135064318622,0.95,0.3495145476771025,0.026562824681184444,20,20,False
seed_000_filler_medium,openai/gpt-4o-mini,filler,medium,307,10.0,20,14,0.30000000000000004,10.0,0.0,0.0,0.0,1.0,0.17488012458566843,5.010607793063253e-07,20,14,False
seed_000_filler_short,openai/gpt-4.1-mini,filler,short,140,10.0,20,20,0.0,10.0,0.0,0.0,0.0,1.0,0.26200883050929435,2.192341408015515e-06,20,20,False
seed_000_filler_short,openai/gpt-4.1-nano,filler,short,140,10.0,20,20,0.0,10.0,0.0,0.0,0.0,1.0,0.36778370058500304,4.90983543147713e-05,20,20,False
seed_000_filler_short,openai/gpt-4o-mini,filler,short,140,10.0,20,16,0.19999999999999996,10.0,0.0,0.0,0.0,1.0,0.21054721145127067,2.5654991427908445e-07,20,16,False
seed_000_relevant_long,openai/gpt-4.1-mini,relevant,long,703,10.0,20,20,0.0,10.0,0.0,0.0,0.0,1.0,0.5419886849685523,0.0003779469521374133,20,20,False
seed_000_relevant_long,openai/gpt-4.1-nano,relevant,long,703,10.0,20,19,0.050000000000000044,10.736842105263158,5.857968032832221,34.315789473684205,0.5455950618814324,0.631578947368421,0.5335142446787253,0.01627698894017855,20,19,False
